gene,ligand,tf,pair,cell_type,mean,std,n
CD4,EBI3,SMC3,EBI3#SMC3,MNP,-2.0045476e-08,1.13582005e-10,335
CD4,CNTF,SP3,CNTF#SP3,MNP,-1.6293893e-09,9.237101e-12,335
CD4,PDGFC,TBX2,PDGFC#TBX2,MNP,1.604122e-08,1.299243e-10,335
CD4,BMP4,TBX2,BMP4#TBX2,MNP,-2.16276e-08,1.2235497e-10,335
CD4,BMP4,TFAP2A,BMP4#TFAP2A,MNP,1.5587286e-08,1.0554328e-10,335
CD4,IL7,USF1,IL7#USF1,MNP,-1.3471695e-08,7.809294e-11,335
CD4,BMP6,VDR,BMP6#VDR,MNP,-3.848194e-08,2.6566208e-10,335
CD4,SHH,ZFX,SHH#ZFX,MNP,-7.641949e-10,4.3444276e-12,335
CD4,EBI3,ZFX,EBI3#ZFX,MNP,4.227885e-10,4.3261787e-12,335
CD4,IL26,CTCF,IL26#CTCF,Muscularis_mucosa,0.0,0.0,51
CD4,EBI3,CTCF,EBI3#CTCF,Muscularis_mucosa,0.0,0.0,51
CD4,IL18,E2F1,IL18#E2F1,Muscularis_mucosa,0.0,0.0,51
CD4,CSF1,EGR2,CSF1#EGR2,Muscularis_mucosa,0.0,0.0,51
CD4,IL18,ELK1,IL18#ELK1,Muscularis_mucosa,0.0,0.0,51
CD4,ADM,ELK1,ADM#ELK1,Muscularis_mucosa,0.0,0.0,51
CD4,VEGFA,ETS1,VEGFA#ETS1,Muscularis_mucosa,0.0,0.0,51
CD4,TGFB1,ETS1,TGFB1#ETS1,Muscularis_mucosa,0.0,0.0,51
CD4,BMP2,FOXO1,BMP2#FOXO1,Muscularis_mucosa,0.0,0.0,51
CD4,PDGFD,FOXO1,PDGFD#FOXO1,Muscularis_mucosa,0.0,0.0,51
CD4,IGF1,FOXO3,IGF1#FOXO3,Muscularis_mucosa,0.0,0.0,51
CD4,IL12A,FOXO3,IL12A#FOXO3,Muscularis_mucosa,0.0,0.0,51
CD4,PDGFA,FOXO4,PDGFA#FOXO4,Muscularis_mucosa,0.0,0.0,51
CD4,VEGFA,FOXO4,VEGFA#FOXO4,Muscularis_mucosa,0.0,0.0,51
CD4,BMP4,GATA2,BMP4#GATA2,Muscularis_mucosa,0.0,0.0,51
CD4,IFNG,HDAC2,IFNG#HDAC2,Muscularis_mucosa,0.0,0.0,51
CD4,IL26,HDAC2,IL26#HDAC2,Muscularis_mucosa,0.0,0.0,51
CD4,EBI3,HDAC2,EBI3#HDAC2,Muscularis_mucosa,0.0,0.0,51
CD4,IL21,HDAC2,IL21#HDAC2,Muscularis_mucosa,0.0,0.0,51
CD4,IL18,KLF16,IL18#KLF16,Muscularis_mucosa,0.0,0.0,51
CD4,IL22,KLF16,IL22#KLF16,Muscularis_mucosa,0.0,0.0,51
CD4,BMP6,KLF5,BMP6#KLF5,Muscularis_mucosa,0.0,0.0,51
CD4,EBI3,MAX,EBI3#MAX,Muscularis_mucosa,0.0,0.0,51
CD4,PDGFD,MEF2A,PDGFD#MEF2A,Muscularis_mucosa,0.0,0.0,51
