gene,tf,cell_type,mean,std,n
CD4,ETS1,Proliferating CD8 T cell,0.07670433,0.00031912283,19
CD4,FOXA1,Proliferating CD8 T cell,0.00442129,0.0043336875,19
CD4,FOXC1,Proliferating CD8 T cell,-0.14222592,0.04315466,19
CD4,FOXD2,Proliferating CD8 T cell,-0.349789,7.712755e-06,19
CD4,FOXE1,Proliferating CD8 T cell,-0.12424601,0.005885874,19
CD4,FOXE3,Proliferating CD8 T cell,0.23613963,3.2010736e-05,19
CD4,FOXI1,Proliferating CD8 T cell,-0.23556252,3.2923588e-05,19
CD4,FOXL2,Proliferating CD8 T cell,0.24074525,1.2969861e-05,19
CD4,FOXO1,Proliferating CD8 T cell,0.5136879,0.22703604,19
CD4,FOXO3,Proliferating CD8 T cell,-0.25111026,0.0032760708,19
CD4,FOXO4,Proliferating CD8 T cell,0.16765036,0.10852953,19
CD4,GATA1,Proliferating CD8 T cell,-0.041097675,0.009010176,19
CD4,GATA2,Proliferating CD8 T cell,-0.038673583,0.018996332,19
CD4,HDAC2,Proliferating CD8 T cell,0.1020643,0.00013267725,19
CD4,HNF4A,Proliferating CD8 T cell,0.20047352,7.019406e-05,19
CD4,HOXA9,Proliferating CD8 T cell,0.05191071,4.143605e-05,19
CD4,KLF14,Proliferating CD8 T cell,0.018304303,0.0013441162,19
CD4,KLF16,Proliferating CD8 T cell,-0.3720999,0.16029704,19
CD4,KLF5,Proliferating CD8 T cell,-0.046546012,0.018527053,19
CD4,LMO2,Proliferating CD8 T cell,-0.14511009,0.000908794,19
CD4,MAX,Proliferating CD8 T cell,-0.07719117,0.07229368,19
CD4,MEF2A,Proliferating CD8 T cell,-0.0010984918,0.0021732124,19
CD4,MEF2C,Proliferating CD8 T cell,-0.24281976,0.10893903,19
CD4,MEIS1,Proliferating CD8 T cell,0.13374817,0.030569995,19
CD4,MYB,Proliferating CD8 T cell,1.0113662,2.3314074e-05,19
CD4,MYBL2,Proliferating CD8 T cell,0.011251001,0.017707482,19
CD4,NF1,Proliferating CD8 T cell,-0.021171175,0.014641991,19
CD4,NFATC1,Proliferating CD8 T cell,0.28155926,0.061779864,19
CD4,NFATC2,Proliferating CD8 T cell,-0.123895906,0.0795109,19
CD4,NFATC3,Proliferating CD8 T cell,-0.5649685,0.022138042,19
