gene,tf,cell_type,mean,std,n
CD3E,FOXJ2,other,0.15005936,0.44151023,231605
CD3E,FOXL2,other,-0.017182315,0.0672747,231605
CD3E,FOXO1,other,0.1330262,0.30552343,231605
CD3E,FOXO3,other,-0.100599825,0.2090725,231605
CD3E,FOXO4,other,-0.11334577,0.4586544,231605
CD3E,GATA1,other,0.049872003,0.14159723,231605
CD3E,GATA2,other,-0.01897729,0.3324167,231605
CD3E,GATA3,other,0.4399101,0.5412026,231605
CD3E,HOXA5,other,-0.2218186,0.6388841,231605
CD3E,HOXB4,other,-0.16952603,0.44841847,231605
CD3E,HOXB6,other,-0.13811958,0.3941165,231605
CD3E,HOXB7,other,0.03398599,0.10253512,231605
CD3E,HOXB9,other,0.104430564,0.36621612,231605
CD3E,IRX1,other,-0.012724189,0.043723915,231605
CD3E,MECOM,other,-0.24597347,0.60780317,231605
CD3E,MEF2A,other,-0.13667978,0.32046494,231605
CD3E,MYEF2,other,-0.021037057,0.09717211,231605
CD3E,NR3C1,other,0.102503724,0.27410913,231605
CD3E,PDX1,other,-0.0070972787,0.041395936,231605
CD3E,PITX1,other,-0.031428117,0.086173,231605
CD3E,POU1F1,other,-0.06724133,0.18575135,231605
CD3E,POU2F1,other,-0.059466664,0.21756253,231605
CD3E,PPARGC1A,other,0.05708286,0.20130847,231605
CD3E,RUNX1,other,0.041888613,0.12808745,231605
CD3E,SIN3A,other,0.02415639,0.07612779,231605
CD3E,SMAD4,other,0.024462534,0.10823009,231605
CD3E,STAT1,other,0.04017744,0.05535423,231605
CD3E,STAT3,other,0.00017808644,0.06604187,231605
CD3E,STAT5A,other,0.06610501,0.18299183,231605
CD3E,STAT5B,other,0.17194483,0.3043087,231605
CD3E,TCF7L2,other,-0.236845,0.55786514,231605
CD3E,THRA,other,-0.027262904,0.09460011,231605
CD3E,THRB,other,-0.053846017,0.11602073,231605
CD3E,ZBTB1,other,0.24919572,0.531742,231605
CD3G,ATOH8,CD4,-0.026855469,0.04009181,10604
CD3G,BCL11A,CD4,0.013759489,0.100353695,10604
CD3G,BCL11B,CD4,0.2287209,0.057202116,10604
CD3G,CTCF,CD4,0.016355596,0.10002891,10604
CD3G,CTCFL,CD4,-0.0075993626,0.028377099,10604
CD3G,E2F3,CD4,0.0026979141,0.031037048,10604
CD3G,E2F4,CD4,0.025934482,0.04924883,10604
CD3G,EBF1,CD4,0.06074264,0.09024238,10604
CD3G,EP300,CD4,0.01632001,0.07634654,10604
CD3G,ETS1,CD4,0.12497202,0.0718403,10604
CD3G,FOXA1,CD4,0.0077596633,0.076565325,10604
CD3G,HNF4A,CD4,-0.023856051,0.010017279,10604
CD3G,IRF1,CD4,0.016116012,0.038402624,10604
CD3G,IRF3,CD4,0.0053212666,0.008420244,10604
CD3G,IRF4,CD4,-0.018448532,0.03798182,10604
CD3G,IRF8,CD4,-0.01434351,0.061795007,10604
CD3G,LMO2,CD4,-0.0007075523,0.011837305,10604
CD3G,MAFF,CD4,0.0055707023,0.00853548,10604
CD3G,MAX,CD4,-0.01567417,0.03633913,10604
CD3G,MYC,CD4,-0.014638317,0.026810504,10604
CD3G,NHLH2,CD4,0.014545227,0.011448779,10604
CD3G,NR3C1,CD4,0.037184402,0.10202657,10604
CD3G,NR4A1,CD4,-0.0016129193,0.013352786,10604
CD3G,NR4A3,CD4,-0.0042636227,0.008196152,10604
CD3G,PAX5,CD4,0.03191113,0.06534352,10604
CD3G,PAX6,CD4,-0.005902867,0.019463321,10604
CD3G,REL,CD4,0.001457255,0.024542315,10604
CD3G,RELA,CD4,-0.01687897,0.056405038,10604
CD3G,RFX5,CD4,0.015742153,0.03533042,10604
CD3G,RXRA,CD4,0.03642031,0.09480377,10604
CD3G,SMAD4,CD4,0.007472976,0.012002714,10604
CD3G,SMC3,CD4,0.006623044,0.039650448,10604
CD3G,SP1,CD4,0.03523902,0.07923665,10604
CD3G,SREBF1,CD4,-0.030416116,0.025235973,10604
CD3G,STAT1,CD4,0.0046321354,0.006041549,10604
CD3G,STAT2,CD4,-0.015416686,0.03712667,10604
CD3G,STAT3,CD4,0.00332867,0.0014882971,10604
CD3G,TCF4,CD4,-0.025477475,0.07209358,10604
CD3G,WT1,CD4,0.0059838486,0.0070023956,10604
CD3G,ZEB1,CD4,-0.003536153,0.018117096,10604
CD3G,ZIC2,CD4,-0.010696802,0.0063826186,10604
CD3G,ZNF76,CD4,-0.011420525,0.050256178,10604
CD3G,ATOH8,Cytotoxic CD4,-0.0024144743,0.019705418,377
CD3G,BCL11A,Cytotoxic CD4,-0.0019576575,0.062553115,377
CD3G,BCL11B,Cytotoxic CD4,0.31188118,0.053512827,377
CD3G,CTCF,Cytotoxic CD4,0.056868833,0.052528612,377
CD3G,CTCFL,Cytotoxic CD4,0.031586926,0.024970213,377
CD3G,E2F3,Cytotoxic CD4,0.021866983,0.018293004,377
CD3G,E2F4,Cytotoxic CD4,0.027981356,0.032607954,377
CD3G,EBF1,Cytotoxic CD4,-0.054395158,0.0539136,377
CD3G,EP300,Cytotoxic CD4,0.010276636,0.0482096,377
CD3G,ETS1,Cytotoxic CD4,0.088543765,0.03161321,377
CD3G,FOXA1,Cytotoxic CD4,-0.016150871,0.055376057,377
CD3G,HNF4A,Cytotoxic CD4,-0.013164141,0.0026439056,377
CD3G,IRF1,Cytotoxic CD4,-0.0047142473,0.027824335,377
CD3G,IRF3,Cytotoxic CD4,0.036161885,0.0044768057,377
CD3G,IRF4,Cytotoxic CD4,0.0149963135,0.027463553,377
CD3G,IRF8,Cytotoxic CD4,-0.03519354,0.029523429,377
CD3G,LMO2,Cytotoxic CD4,-0.019340564,0.006929853,377
CD3G,MAFF,Cytotoxic CD4,0.00894003,0.00789309,377
CD3G,MAX,Cytotoxic CD4,0.0055736685,0.0234923,377
CD3G,MYC,Cytotoxic CD4,-0.0029169875,0.018600272,377
CD3G,NHLH2,Cytotoxic CD4,-0.007901024,0.0059874547,377
CD3G,NR3C1,Cytotoxic CD4,0.018192647,0.059693664,377
CD3G,NR4A1,Cytotoxic CD4,-0.0138294455,0.010697162,377
CD3G,NR4A3,Cytotoxic CD4,-0.022998706,0.010526125,377
CD3G,PAX5,Cytotoxic CD4,-0.007024352,0.029244015,377
CD3G,PAX6,Cytotoxic CD4,0.0042271637,0.009430078,377
CD3G,REL,Cytotoxic CD4,0.013129287,0.01301418,377
CD3G,RELA,Cytotoxic CD4,0.0150497435,0.030889297,377
CD3G,RFX5,Cytotoxic CD4,-0.010315518,0.024363544,377
CD3G,RXRA,Cytotoxic CD4,-0.03497049,0.07998684,377
CD3G,SMAD4,Cytotoxic CD4,0.016946726,0.009981104,377
CD3G,SMC3,Cytotoxic CD4,0.020607308,0.02335758,377
CD3G,SP1,Cytotoxic CD4,-0.008227013,0.06045867,377
CD3G,SREBF1,Cytotoxic CD4,-0.025339276,0.0116114095,377
CD3G,STAT1,Cytotoxic CD4,0.00010358968,0.0031418572,377
CD3G,STAT2,Cytotoxic CD4,-0.0022681952,0.022773646,377
CD3G,STAT3,Cytotoxic CD4,-0.009402982,0.0029428992,377
CD3G,TCF4,Cytotoxic CD4,-0.008020557,0.049818438,377
CD3G,WT1,Cytotoxic CD4,0.005433703,0.004270579,377
CD3G,ZEB1,Cytotoxic CD4,0.032189507,0.030835655,377
CD3G,ZIC2,Cytotoxic CD4,-0.001334245,0.0012388675,377
CD3G,ZNF76,Cytotoxic CD4,0.025700731,0.032266866,377
CD3G,ATOH8,Cytotoxic CD8,-0.07070996,0.0671535,11464
CD3G,BCL11A,Cytotoxic CD8,-0.29211047,0.1675157,11464
CD3G,BCL11B,Cytotoxic CD8,0.31371948,0.018525355,11464
CD3G,CTCF,Cytotoxic CD8,0.39376655,0.12292993,11464
CD3G,CTCFL,Cytotoxic CD8,-0.11707035,0.008383681,11464
CD3G,E2F3,Cytotoxic CD8,-0.07406167,0.099739864,11464
CD3G,E2F4,Cytotoxic CD8,0.2391339,0.11165131,11464
