gene,tf,cell_type,mean,std,n
CD4,BCL3,Gamma delta T cell,0.25961217,0.11682481,2417
CD4,CTCF,Gamma delta T cell,0.20253205,0.045270786,2417
CD4,CTCFL,Gamma delta T cell,0.0045505897,0.042489335,2417
CD4,E2F1,Gamma delta T cell,0.48847094,0.35997558,2417
CD4,E2F3,Gamma delta T cell,0.22652851,0.14191866,2417
CD4,E2F4,Gamma delta T cell,-0.051042818,0.11850107,2417
CD4,EGR2,Gamma delta T cell,-0.1245784,0.15370117,2417
CD4,EGR3,Gamma delta T cell,0.30636665,0.076545134,2417
CD4,EGR4,Gamma delta T cell,-0.2668828,0.027778137,2417
CD4,ELK1,Gamma delta T cell,0.2433339,0.17270175,2417
CD4,ETS1,Gamma delta T cell,0.051161468,0.11262064,2417
CD4,FOXA1,Gamma delta T cell,-0.17779902,0.014260307,2417
CD4,FOXC1,Gamma delta T cell,-0.77209127,0.32124805,2417
CD4,FOXD2,Gamma delta T cell,-0.13778715,0.06820528,2417
CD4,FOXE1,Gamma delta T cell,0.05581569,0.030339861,2417
CD4,FOXE3,Gamma delta T cell,-0.00024453824,0.011071458,2417
CD4,FOXI1,Gamma delta T cell,-0.014045722,0.004451536,2417
CD4,FOXL2,Gamma delta T cell,-0.2133624,0.0888045,2417
CD4,FOXO1,Gamma delta T cell,0.042472243,0.06661502,2417
CD4,FOXO3,Gamma delta T cell,-0.7606259,0.2036592,2417
CD4,FOXO4,Gamma delta T cell,0.37895107,0.2473795,2417
CD4,GATA1,Gamma delta T cell,-0.0039029336,0.0022559583,2417
CD4,GATA2,Gamma delta T cell,-0.19450377,0.09642301,2417
CD4,HDAC2,Gamma delta T cell,0.18686324,0.07389189,2417
CD4,HNF4A,Gamma delta T cell,-0.15944579,0.017496046,2417
CD4,HOXA9,Gamma delta T cell,-0.036300212,0.072516754,2417
CD4,KLF14,Gamma delta T cell,-0.075647324,0.021412352,2417
CD4,KLF16,Gamma delta T cell,0.8829703,0.49327064,2417
CD4,KLF5,Gamma delta T cell,-0.7047467,0.27361852,2417
CD4,LMO2,Gamma delta T cell,3.7380886,1.0379183,2417
CD4,MAX,Gamma delta T cell,0.9620711,0.12459224,2417
CD4,MEF2A,Gamma delta T cell,0.78843707,0.27197656,2417
CD4,MEF2C,Gamma delta T cell,1.7407116,0.2907815,2417
CD4,MEIS1,Gamma delta T cell,-1.3475533,0.15837856,2417
CD4,MYB,Gamma delta T cell,0.09644715,0.0779839,2417
CD4,MYBL2,Gamma delta T cell,-0.3580015,0.18128432,2417
CD4,NF1,Gamma delta T cell,0.5160572,0.32539535,2417
CD4,NFATC1,Gamma delta T cell,-0.63564163,0.30159384,2417
CD4,NFATC2,Gamma delta T cell,-0.3693347,0.2898181,2417
CD4,NFATC3,Gamma delta T cell,-0.5623014,0.11511674,2417
CD4,NFATC4,Gamma delta T cell,-1.7154126,0.28288177,2417
CD4,NHLH2,Gamma delta T cell,-0.017692994,0.019850103,2417
CD4,POU2F2,Gamma delta T cell,1.9023967,0.30237862,2417
CD4,PTEN,Gamma delta T cell,0.79786104,0.13737951,2417
CD4,REST,Gamma delta T cell,-0.39561567,0.20353664,2417
CD4,RXRA,Gamma delta T cell,-0.91215384,0.5684735,2417
CD4,SIN3A,Gamma delta T cell,-0.044884503,0.022011518,2417
CD4,SMC3,Gamma delta T cell,-0.0752309,0.048248712,2417
CD4,SP3,Gamma delta T cell,0.11421952,0.009963209,2417
CD4,SP9,Gamma delta T cell,-0.021094022,0.012794884,2417
CD4,TAL1,Gamma delta T cell,-0.03392983,0.017350527,2417
