gene,metabolite,cell_type,mean,std,n
HIF1A,Folinic acid,Effector CD8 T cell,2.8160664e-12,9.71166e-11,4715
HIF1A,Glutathione,Effector CD8 T cell,4.5590146e-11,1.5655839e-09,4715
HIF1A,Heme,Effector CD8 T cell,4.5724764e-08,1.5744065e-06,4715
HIF1A,Iron,Effector CD8 T cell,-5.832394e-08,2.0191744e-06,4715
HIF1A,L-Arginine|L-Histidine|L-Tyrosine,Effector CD8 T cell,-7.313425e-10,2.538955e-08,4715
HIF1A,L-Cystine,Effector CD8 T cell,-4.6013204e-10,1.5815257e-08,4715
HIF1A,L-Isoleucine|L-Valine,Effector CD8 T cell,0.0,0.0,4715
HIF1A,L-Lactate,Effector CD8 T cell,-4.3658532e-10,1.5015859e-08,4715
HIF1A,L-Methionine|L-Phenylalanine,Effector CD8 T cell,-9.1951613e-10,3.182024e-08,4715
HIF1A,Neurotransmitter,Effector CD8 T cell,-3.3459577e-10,1.1523294e-08,4715
HIF1A,Nicotinate,Effector CD8 T cell,-6.790268e-09,2.3429969e-07,4715
HIF1A,Sodium,Effector CD8 T cell,-2.3874177e-08,8.2790376e-07,4715
HIF1A,Taurocholic acid,Effector CD8 T cell,2.795944e-08,9.844088e-07,4715
HIF1A,Vitamin D3,Effector CD8 T cell,-1.1676445e-08,4.0555045e-07,4715
HIF1A,Zinc,Effector CD8 T cell,2.0124975e-08,6.930777e-07,4715
HIF1A,alpha-Tocopherol,Effector CD8 T cell,-3.8099476e-10,1.3239111e-08,4715
HIF1A,2-Hydroxychlorpropamide,Gamma delta T cell,0.0,0.0,2417
HIF1A,25-Hydroxycholesterol,Gamma delta T cell,1.9975643e-07,2.6480277e-06,2417
HIF1A,ADP,Gamma delta T cell,0.0,0.0,2417
HIF1A,Acetate,Gamma delta T cell,-1.7009584e-07,2.1434616e-06,2417
HIF1A,Adenine,Gamma delta T cell,4.9326553e-11,6.116161e-10,2417
HIF1A,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Gamma delta T cell,4.367431e-08,5.4365705e-07,2417
HIF1A,Adenosine diphosphate ribose,Gamma delta T cell,-2.0660837e-08,2.6234554e-07,2417
